year,avg_temp,gdd,total_rain,et0,water_stress,diurnal_range,frost_days,region,hemisphere,avg_temp_lag1,gdd_lag1,total_rain_lag1,water_stress_lag1,diurnal_range_lag1,frost_days_lag1
2013,15.86,1314.6,350.2,716.3,0.489,9.96,0,Rioja,Northern,16.96,1543.1,365.3,0.46,11.13,0.0
2014,17.17,1536.1,211.3,772.7,0.273,10.84,0,Rioja,Northern,15.86,1314.6,350.2,0.489,9.96,0.0
2015,16.89,1487.1,269.5,780.3,0.345,10.7,0,Rioja,Northern,17.17,1536.1,211.3,0.273,10.84,0.0
2016,16.72,1476.4,209.3,780.2,0.268,10.89,0,Rioja,Northern,16.89,1487.1,269.5,0.345,10.7,0.0
2000,18.15,1744.8,197.3,975.7,0.202,13.17,0,Russian River Valley,Northern,,,,,,
2001,18.7,1876.8,66.0,1024.4,0.064,13.8,0,Russian River Valley,Northern,18.15,1744.8,197.3,0.202,13.17,0.0
2002,18.12,1741.7,39.0,1017.4,0.038,13.95,0,Russian River Valley,Northern,18.7,1876.8,66.0,0.064,13.8,0.0
2003,18.38,1803.5,176.6,988.6,0.179,13.53,0,Russian River Valley,Northern,18.12,1741.7,39.0,0.038,13.95,0.0
2004,18.66,1853.8,118.1,1035.7,0.114,13.54,0,Russian River Valley,Northern,18.38,1803.5,176.6,0.179,13.53,0.0
2005,17.91,1695.3,174.0,956.1,0.182,12.79,0,Russian River Valley,Northern,18.66,1853.8,118.1,0.114,13.54,0.0
2006,18.59,1845.8,213.6,989.5,0.216,13.78,0,Russian River Valley,Northern,17.91,1695.3,174.0,0.182,12.79,0.0
2007,17.88,1689.0,120.8,1000.7,0.121,13.31,0,Russian River Valley,Northern,18.59,1845.8,213.6,0.216,13.78,0.0
2008,18.79,1886.4,43.8,1065.5,0.041,14.59,0,Russian River Valley,Northern,17.88,1689.0,120.8,0.121,13.31,0.0
2009,18.33,1785.5,150.2,997.3,0.151,13.66,0,Russian River Valley,Northern,18.79,1886.4,43.8,0.041,14.59,0.0
2010,17.23,1562.4,270.4,929.0,0.291,12.77,0,Russian River Valley,Northern,18.33,1785.5,150.2,0.151,13.66,0.0
2011,17.71,1657.2,146.0,936.5,0.156,12.95,0,Russian River Valley,Northern,17.23,1562.4,270.4,0.291,12.77,0.0
2012,18.1,1740.2,99.8,994.0,0.1,13.77,0,Russian River Valley,Northern,17.71,1657.2,146.0,0.156,12.95,0.0
2013,18.61,1842.4,59.6,1026.8,0.058,13.84,0,Russian River Valley,Northern,18.1,1740.2,99.8,0.1,13.77,0.0
2014,19.1,1951.5,69.3,1014.2,0.068,13.58,0,Russian River Valley,Northern,18.61,1842.4,59.6,0.058,13.84,0.0
2015,19.01,1929.1,55.9,1005.0,0.056,13.61,0,Russian River Valley,Northern,19.1,1951.5,69.3,0.068,13.58,0.0
2016,18.63,1847.1,206.6,986.4,0.209,13.17,0,Russian River Valley,Northern,19.01,1929.1,55.9,0.056,13.61,0.0
2000,13.71,878.2,275.5,707.2,0.39,10.55,1,Willamette Valley,Northern,,,,,,
2001,13.32,875.1,316.5,705.0,0.449,10.99,10,Willamette Valley,Northern,13.71,878.2,275.5,0.39,10.55,1.0
2002,13.94,977.2,220.9,767.3,0.288,11.41,4,Willamette Valley,Northern,13.32,875.1,316.5,0.449,10.99,10.0
2003,14.73,1149.1,264.8,783.5,0.338,11.3,1,Willamette Valley,Northern,13.94,977.2,220.9,0.288,11.41,4.0
2004,14.7,1081.5,359.9,742.9,0.484,10.78,1,Willamette Valley,Northern,14.73,1149.1,264.8,0.338,11.3,1.0
2005,13.95,934.5,391.9,694.4,0.564,10.35,2,Willamette Valley,Northern,14.7,1081.5,359.9,0.484,10.78,1.0
2006,14.61,1090.9,207.6,797.5,0.26,11.74,3,Willamette Valley,Northern,13.95,934.5,391.9,0.564,10.35,2.0
2007,13.62,911.4,301.2,709.9,0.424,10.64,4,Willamette Valley,Northern,14.61,1090.9,207.6,0.26,11.74,3.0
2008,13.46,942.1,231.0,713.2,0.324,10.97,9,Willamette Valley,Northern,13.62,911.4,301.2,0.424,10.64,4.0
2009,14.41,1074.7,296.1,748.8,0.395,11.32,3,Willamette Valley,Northern,13.46,942.1,231.0,0.324,10.97,9.0
2010,13.01,796.3,520.9,663.0,0.786,10.14,2,Willamette Valley,Northern,14.41,1074.7,296.1,0.395,11.32,3.0
2011,13.0,837.7,372.6,655.9,0.568,10.16,9,Willamette Valley,Northern,13.01,796.3,520.9,0.786,10.14,2.0
2012,14.03,988.4,408.8,729.8,0.56,11.11,4,Willamette Valley,Northern,13.0,837.7,372.6,0.568,10.16,9.0
2013,14.25,1019.8,392.3,716.3,0.548,10.55,3,Willamette Valley,Northern,14.03,988.4,408.8,0.56,11.11,4.0
2014,15.39,1218.0,466.7,771.7,0.605,11.06,1,Willamette Valley,Northern,14.25,1019.8,392.3,0.548,10.55,3.0
2015,15.73,1302.9,211.7,817.0,0.259,11.68,2,Willamette Valley,Northern,15.39,1218.0,466.7,0.605,11.06,1.0
2016,14.95,1091.6,464.7,752.0,0.618,10.79,0,Willamette Valley,Northern,15.73,1302.9,211.7,0.259,11.68,2.0
2000,17.08,1507.9,415.0,836.3,0.496,10.68,0,Yarra Valley,Southern,,,,,,
2001,17.37,1565.8,510.2,865.2,0.59,10.8,0,Yarra Valley,Southern,17.08,1507.9,415.0,0.496,10.68,0.0
2002,15.65,1201.7,436.7,746.8,0.585,9.75,0,Yarra Valley,Southern,17.37,1565.8,510.2,0.59,10.8,0.0
2003,16.95,1473.0,289.3,874.8,0.331,10.94,0,Yarra Valley,Southern,15.65,1201.7,436.7,0.585,9.75,0.0
2004,16.14,1316.9,399.4,841.5,0.475,10.92,0,Yarra Valley,Southern,16.95,1473.0,289.3,0.331,10.94,0.0
2005,16.65,1409.6,477.9,824.8,0.579,10.53,0,Yarra Valley,Southern,16.14,1316.9,399.4,0.475,10.92,0.0
2006,17.31,1550.6,461.5,879.3,0.525,10.7,0,Yarra Valley,Southern,16.65,1409.6,477.9,0.579,10.53,0.0
2007,17.71,1639.5,258.8,946.2,0.274,11.83,0,Yarra Valley,Southern,17.31,1550.6,461.5,0.525,10.7,0.0
2008,17.54,1611.0,377.8,901.0,0.419,11.29,0,Yarra Valley,Southern,17.71,1639.5,258.8,0.274,11.83,0.0
2009,17.07,1506.4,333.4,890.6,0.374,11.33,0,Yarra Valley,Southern,17.54,1611.0,377.8,0.419,11.29,0.0
2010,18.0,1699.5,456.2,883.0,0.517,10.98,0,Yarra Valley,Southern,17.07,1506.4,333.4,0.374,11.33,0.0
2011,16.66,1415.6,710.8,754.5,0.942,9.79,0,Yarra Valley,Southern,18.0,1699.5,456.2,0.517,10.98,0.0
2012,17.27,1549.0,585.0,816.6,0.716,9.97,0,Yarra Valley,Southern,16.66,1415.6,710.8,0.942,9.79,0.0
2013,17.79,1654.2,297.4,904.6,0.329,10.94,0,Yarra Valley,Southern,17.27,1549.0,585.0,0.716,9.97,0.0
2014,17.24,1536.3,448.9,847.5,0.53,10.75,0,Yarra Valley,Southern,17.79,1654.2,297.4,0.329,10.94,0.0
2015,17.01,1485.5,385.3,840.1,0.459,10.68,0,Yarra Valley,Southern,17.24,1536.3,448.9,0.53,10.75,0.0
2016,18.44,1797.4,311.5,901.2,0.346,11.41,0,Yarra Valley,Southern,17.01,1485.5,385.3,0.459,10.68,0.0
